text,label
"Government unveils new tax reforms to boost growth","Business"
"Opposition parties unite ahead of the confidence vote","Politics"
"Local club secures dramatic win in the cup semifinal","Sports"
"Tech giant announces breakthrough in quantum computing","Tech"
"Box office hit breaks weekend records nationwide","Entertainment"
"Central bank keeps interest rates unchanged this quarter","Business"
"Star striker suffers injury ahead of international fixture","Sports"
"Parliament debates data privacy amendments","Politics"
"Streaming platform reveals new original series lineup","Entertainment"
"Startups raise funding to build AI chips","Tech"
